url,sentiment,political_stability,economic_impact,climate_impact,social_cohesion,international_relations,regional_security,meta_confidnence,meta_prompt_tokens,meta_total_tokens
https://www.dawn.com/news/1947463/army-brass-warns-india-any-imaginary-new-normal-to-be-met-with-new-normal-of-swift-retributive-response,-2,-2,-1,0,-1,-1,-2,0.9975023813688758,1642,1713
https://www.dawn.com/news/1948886,-2,-1,-2,-3,-1,-1,-1,0.9731154111083036,1754,1825
https://www.dawn.com/news/1948887,-1,-1,-2,-2,-1,-1,-1,0.9920524352972261,2669,2740
https://www.dawn.com/news/1949486/how-to-fix-blurry-images-and-enhance-photos-with-ai,1,0,0,0,0,0,0,0.9982299313807382,1891,1962
https://www.dawn.com/news/1949540/why-are-multinationals-exiting-pakistan,-2,-1,-2,0,-1,-1,-1,0.9791949140091718,5071,5142
https://www.dawn.com/news/1949648/pakistan-sells-first-women-bank-to-uae-firm,2,1,2,0,1,2,0,0.9877448722868928,1109,1180
https://www.dawn.com/news/1949677/shift-in-kabul-ties-imminent-as-more-terror-hideouts-hit,-2,-2,-1,0,-1,-2,-2,0.9908800666377678,2244,2315
https://www.dawn.com/news/1949694/punjab-agri-dept-signs-four-mous-with-chinese-firms,2,1,2,1,0,1,0,0.9990656259889812,746,817
https://www.dawn.com/news/1949695/zimbabwe-roped-in-after-afghanistan-pulls-out-of-upcoming-tri-nation-series,-1,-1,0,0,-1,-1,-2,0.9881864344504792,2131,2202
https://www.dawn.com/news/1949711/no-space-for-war-in-nuclearised-environment-coas-munir-cautions-india,1,0,0,0,1,1,-1,0.9760688578919625,2930,3001
https://www.dawn.com/news/1949733/pakistan-cricket-board-to-finalise-new-odi-skipper-ahead-of-south-africa-series,0,0,0,0,0,0,0,0.9989516736172299,1079,1150
https://www.dawn.com/news/1949741/pakistan-fall-to-great-britain-end-fourth-in-sultan-of-johor-cup,-1,0,0,0,0,0,0,0.999587404512504,863,934
https://www.dawn.com/news/1949758/saudi-telecom-giant-launches-ai-hub-in-pakistan,2,1,2,0,1,2,1,0.9937070545367593,1089,1160
https://www.dawn.com/news/1949764/45-electric-buses-arrive-in-rawalpindi,1,0,1,1,1,0,0,0.984151695364634,1267,1338
https://www.dawn.com/news/1949834/pms-adviser-warns-of-firm-response-to-any-attack,0,0,0,0,-1,-1,-1,0.9747455305858435,1080,1151
https://www.dawn.com/news/1949835/calm-returns-to-chaman-after-ceasefire-extension,1,1,-2,0,0,-1,1,0.9796902979583411,1128,1199
https://www.dawn.com/news/1949836/pm-discusses-trade-ties-with-malaysian-counterpart,1,0,1,0,0,1,-1,0.9940207825278465,773,844
https://www.dawn.com/news/1949837/ihc-office-objects-to-kp-cms-plea-for-meeting-imran,-1,-1,0,0,-1,0,-1,0.9978643928669199,1134,1205
https://www.dawn.com/news/1949845/pakistan-afghanistan-agree-to-immediate-ceasefire-after-doha-talks-defence-minister,2,2,1,0,1,1,2,0.9787881596829561,2198,2269
https://www.dawn.com/news/1949852/measured-response,0,-1,-1,0,-2,-1,-1,0.9884670488982263,1147,1218
https://www.dawn.com/news/1949853/talibans-new-ploy,-2,-2,-1,0,-1,-1,-2,0.9940799707938772,1570,1641
https://www.dawn.com/news/1949856/another-doha-pact,-1,-1,0,0,-1,-1,-1,0.9896397171339401,1836,1907
https://www.dawn.com/news/1949908/suparco-launches-countrys-first-hyperspectral-satellite,3,1,2,2,1,2,1,0.9873567156323648,1657,1728
https://www.dawn.com/news/1949914/pakistans-jf-17-block-iii-jets-touch-down-in-azerbaijan-for-bilateral-aerial-combat-exercise,1,1,0,-1,0,1,1,0.9825251265309297,1209,1280
https://www.dawn.com/news/1949923/kp-cm-afridi-calls-for-a-grand-peace-jirgah-on-oct-25,1,1,0,0,1,0,1,0.9886203725417197,1031,1102
https://www.dawn.com/news/1949953/lahore-ranks-second-most-polluted-city-in-world-in-terms-of-air-quality,-2,-1,-1,-3,-1,0,-1,0.9829088241260585,1045,1116
https://www.dawn.com/news/1950025/authorities-in-punjab-closing-in-on-tlp-chiefs-whereabouts,-1,-1,-1,0,-2,0,-1,0.9820002563553839,1288,1359
https://www.dawn.com/news/1950063/literary-notes-putting-urdu-criticism-on-world-literary-map,2,0,0,0,1,1,0,0.9877345071683478,1576,1647
https://www.dawn.com/news/1950078/exporters-assured-of-govt-help-in-removing-hurdles-to-meat-exports,1,1,2,0,0,1,0,0.9953076068992592,861,932
https://www.dawn.com/news/1950079/fishermen-from-pasni-end-month-long-fishing-boycott,2,1,2,0,1,0,0,0.998014841490184,838,909
https://www.dawn.com/news/1950080/weapons-snatched-from-levies-men-thana-torched,-2,-2,-1,0,-1,0,-2,0.9853951289576277,764,835
https://www.dawn.com/news/1950081/3-hurt-in-qila-abdullah-attack,-2,-1,-1,0,-1,0,-1,0.9899567680363933,718,789
https://www.dawn.com/news/1950082/climate-change-support-surges-to-34pc-in-pakistan-world-bank-survey,1,0,1,2,0,1,0,0.9908830920656936,1334,1405
https://www.dawn.com/news/1950083/cm-sohail-afridi-announces-jirga-for-peace-in-kp,1,1,0,0,1,0,1,0.996177618924254,1338,1409
https://www.dawn.com/news/1950084/govt-urged-to-focus-on-rebuilding-flood-devastated-farmlands,-2,-1,-2,-1,-1,0,-1,0.9911857347667018,1071,1142
https://www.dawn.com/news/1950085/balochistan-ig-for-enhancing-polices-anti-terror-capacity,1,1,0,0,0,0,1,0.9940415121231264,892,963
https://www.dawn.com/news/1950102/beyond-baku-belem,1,0,0,1,0,1,0,0.9931404914523888,1599,1670
